workerId,negllhTest
17,1357.3407805007025
99,610.510880199876
40,863.3291683219961
28,871.8804233403433
97,1251.1785402792705
80,808.5611988388382
26,1270.306293611982
48,742.2894017365312
37,1069.7174251008623
61,972.2318465046533
13,1167.3705272949755
42,1303.161799912631
85,1215.9756676870613
27,901.940223138212
81,864.1371629458107
25,1098.630249736886
75,999.0038893887912
31,449.2344699090915
66,933.4166657197087
24,945.7899949813536
98,1194.51860364513
79,1464.6956962697027
32,1040.8123997693847
77,861.5252452253312
15,1181.8002012423026
36,465.4562725429676
90,1210.7593267481354
3,1178.4491393940775
57,1240.0956789794695
87,1006.4652381920171
54,937.1905552637352
2,1519.1689239591994
96,922.8333345268187
67,1076.220210173205
105,1175.82053830106
29,1449.4412489724732
59,1319.9623739639628
20,1117.9874967396104
39,1455.4109137176144
103,478.2205864733239
7,1034.2814971967662
12,832.1364323613708
82,848.0471871026863
16,1026.787506029586
62,1665.5152954613488
35,1038.1204543835029
69,913.185583345324
30,981.6488025055537
53,1673.7956410671106
19,1476.6968541750336
6,660.8378003906698
102,1663.592371099713
9,1049.3802157435139
21,1348.5202349895935
78,1483.258551472392
8,1213.158211479466
60,1011.8629570067136
106,973.4520264497444
74,891.1629977422605
72,910.5758351841458
45,1031.4776988948718
1,645.634522812353
88,1448.99094580543
56,1146.4670376536387
38,1627.2307883213434
10,1091.2595904671923
58,1072.4584656931686
41,693.1883929789444
73,1044.9468899803703
23,1468.3827001376737
64,596.5527063930778
49,882.8172970745404
95,1110.4091755681993
55,961.681196432769
14,980.6332973640781
76,965.2539857132041
70,1495.162324213369
5,1452.7473089326313
65,528.8748601611129
92,1198.8178466495342
100,1607.4386446214944
34,1252.8132135341054
63,890.645029390399
93,832.2422282719757
68,915.7790022937128
91,937.8794117274448
83,1483.5526562703603
46,1181.759077627778
101,758.4398236472828
47,759.947827830211
71,1071.7778359878062
4,955.1891414285616
11,776.606675306134
94,1901.9661722056396
43,564.8359432022722
52,498.13817289253404
104,1241.9795820266913
18,854.9331801302898
84,976.3326544511616
33,767.7381047747941
44,826.0241880768917
22,984.8453306582968
