workerId,negllhTest
17,1981.896286587872
99,1805.1442264690372
40,1740.6888065329103
28,1655.2724345377585
97,1606.0787235240964
80,1437.356675880331
26,1688.7139743428218
48,1815.5591825160488
37,1714.4708050202564
61,1707.5807518781571
13,2111.38912000149
42,2078.9357393583537
85,1735.7547185271717
27,1684.734904422277
81,1462.0210287220873
25,1806.0236391207725
75,1585.8745661669784
31,1734.6385589983613
66,1661.7363863130083
24,1517.983916494769
98,1878.6893241720513
79,1860.8957968753955
32,1634.9642856381195
77,1494.1968007414498
15,1838.233364098212
36,1782.2794672110322
90,1609.4720781977805
3,2044.077787700952
57,2127.6813533274567
87,1652.64359764859
54,1918.8582205869093
2,1883.1401823903495
96,1528.3702890450309
67,1885.1115908504892
105,2108.347876855215
29,1940.0462652358292
59,1768.7924530511264
20,1714.6540899562328
39,2239.41129722084
103,1800.9028029848034
7,1725.6968310168938
12,1672.5475193704428
82,1842.0256334631827
16,1734.2165590758975
62,1907.739282495339
35,1613.4208499049744
69,1959.9392288715978
30,1825.947703242548
53,2079.863276596347
19,2212.2801865412675
6,1851.7600366686227
102,2073.8041822092955
9,2180.8761907339094
21,1826.5114840105573
78,2065.201449273045
8,1604.7226019942111
60,1574.5862646555881
106,2052.971148025512
74,1911.307252782524
72,1910.002937944866
45,1822.3237712437412
1,1388.1020929182394
88,1949.0958083938367
56,1713.6298226169024
38,2151.5571835550872
10,1639.7695714918582
58,1650.8889771375243
41,1805.6965332086968
73,1992.7242350658341
23,2198.1003122628404
64,1445.102598430322
49,1805.423274331801
95,1600.9188525424918
55,1872.9172718135208
14,1676.8880058258308
76,1693.3661825210334
70,1763.6805529202936
5,1866.7430778899688
65,1822.7298908275545
92,1782.9605697037823
100,2130.0577676269518
34,1674.1525471684781
63,1867.181115880806
93,1677.956550489322
68,1657.3409127342636
91,1828.542603459496
83,2012.5561564225816
46,1750.3006796305926
101,1486.146582268487
47,1465.961173981355
71,1736.6135984726488
4,1862.331228625995
11,2074.944406888722
94,1478.025316556303
43,1581.9119417033592
52,1748.4475182191738
104,1773.8286324045935
18,1716.9958421004244
84,1626.7932767869434
33,1883.6613463429053
44,1689.8976012348064
22,1555.943646858299
