workerId,negllhTest
17,1644.940475194126
99,940.0171810366078
40,1406.4913763129869
28,986.723341082402
97,1277.9973734382852
80,1353.1610297827353
26,1416.2494192828244
48,1206.8987543738415
37,1327.1020766671306
61,1539.828800754688
13,1439.2125814058465
42,1405.651230229069
85,1423.5702631768772
27,1385.089107165999
81,1358.7453241987828
25,1610.4594281293655
75,1381.009941644985
31,603.6506053623107
66,1540.312063870018
24,1282.1779959272235
98,1486.9549465116338
79,1121.2107313632803
32,1311.7691029698806
77,1047.2751357030306
15,1174.5187197294274
36,755.5437218431241
90,1597.7292304854507
3,1329.2399059572024
57,1728.014133812084
87,1487.8336011956367
54,1165.0486666994
2,1725.5160108894015
96,1182.3119235121733
67,1796.4939686425898
105,1483.110338722007
29,1671.9634514358472
59,1730.5245509599679
20,1728.1936499026262
39,1752.3244724318329
103,835.421585473899
7,1516.4176530580335
12,1229.8884739651562
82,1238.8252062114705
16,1555.6975422768905
62,2001.8827031634664
35,1120.5190191809618
69,1288.7626159508486
30,1093.752548174787
53,1691.1524440059095
19,1700.9966861864586
6,967.8861279047228
102,1542.4513197426277
9,1819.8720647046835
21,1611.9640542502314
78,1701.0474065925982
8,1418.8334494954006
60,1332.1087613484692
106,1306.7795550323335
74,1093.4699945359039
72,1073.609008140837
45,1630.930947546391
1,1238.7942937643984
88,1658.3950888488855
56,1042.5115770956647
38,1741.08267513052
10,1778.5289157231164
58,1499.1308293770585
41,1014.978358206796
73,1327.193231027181
23,1684.3801404576745
64,1348.689358752118
49,1281.843506213606
95,1348.3785857862113
55,1535.966742829255
14,1124.994398453443
76,1308.51020089129
70,1652.9677622450995
5,1665.5976851852497
65,1015.862955144876
92,1685.1500795656311
100,1593.393968930672
34,1475.8163055581674
63,1346.7489914673097
93,1322.6284887526947
68,1537.7405548620372
91,1299.3769339690837
83,1885.5285295218966
46,1608.7418102996799
101,1176.998925406582
47,1423.4914990712005
71,1317.9823120487172
4,1383.3626220778576
11,1467.7451021979211
94,1448.9125016017208
43,583.8548767616747
52,656.5156400419972
104,1301.402218662309
18,1219.4105030915762
84,1050.5089640212784
33,1118.3202643172656
44,1581.3062193465496
22,1397.5985411282031
