workerId,negllhTest
17,1951.7348298351399
99,1165.4056992119524
40,1880.0950903633727
28,1218.542298715184
97,1851.0027206929333
80,1716.0642890546185
26,1633.6115244393613
48,1589.8657749911586
37,1562.180737181912
61,1802.854621385318
13,1744.334231943881
42,1585.8336449270334
85,1642.6125542732166
27,1946.0017440596653
81,1673.3670903616342
25,1889.8780474184614
75,1831.010029529028
31,1256.2585193485538
66,1906.8557108961304
24,1856.781395961877
98,1717.7203569446506
79,1724.9889511330948
32,1596.2986223889907
77,1590.9332990887406
15,1416.5514101818342
36,1160.5168280489027
90,2072.454368509339
3,1788.2596538685855
57,1875.1455668891385
87,1814.7322689027912
54,1717.0999596740444
2,1958.0472790709946
96,1799.5028775971991
67,1879.2267056037547
105,1602.1987504472668
29,1915.8298478225388
59,1889.80391858218
20,1964.1502820075489
39,1727.7923990989675
103,1184.2627082695199
7,1957.5211670857266
12,1896.8121876500895
82,1659.4173774108278
16,1897.3722844356885
62,2151.2426536717767
35,1605.0763535463134
69,1775.4083308369836
30,1485.8795458328746
53,1849.6458358647799
19,2043.7809975832897
6,1179.6569194940041
102,1900.5048878870728
9,1998.6944806502177
21,1821.5959295472067
78,1740.2021140718075
8,1807.7729450984211
60,1600.2627874001062
106,1700.5882932470688
74,1586.225379402822
72,1563.0896548611365
45,1898.9296930451587
1,1790.6327588775928
88,1945.8432524113407
56,1413.8313550533976
38,1990.6331472082609
10,2009.6771122413418
58,1753.0946625431275
41,1235.3225252256047
73,1563.1509217020148
23,1840.4160460842356
64,1800.5893997492358
49,1648.7889432177585
95,1838.3440342548095
55,2005.9840604033532
14,1849.0544971600248
76,1791.1516645575257
70,2065.086345552936
5,1855.9449985892047
65,1276.6127893098228
92,1955.84993254642
100,2032.6997084844306
34,1863.698325492012
63,1727.2421815511111
93,1806.3306376857265
68,1825.1682748664155
91,1748.0694708127774
83,2062.5500507367897
46,2078.774276793547
101,1732.8139248967248
47,1813.460603464411
71,1865.5057334360943
4,1581.7312586035239
11,1642.4344972604572
94,2088.504762905787
43,985.5243693584496
52,861.8127925405142
104,1714.6172580931755
18,1526.6126874974448
84,1322.7891306819024
33,1563.2318517727979
44,1869.7434074283135
22,1984.3872874558365
