workerId,negllhTest
17,1679.9974676942059
99,907.5470949546968
40,1496.888885089896
28,1082.0453153535302
97,1464.7205138263787
80,1562.045218563636
26,1577.43170042773
48,1242.3941705599598
37,1421.0065918696735
61,1651.1401384084495
13,1410.8861860151778
42,1338.160501911136
85,1558.3591459214458
27,1503.2414870196426
81,1556.5735731916054
25,1676.4148627182922
75,1553.1865920018872
31,603.614092342856
66,1675.8243394105696
24,1452.0452269171913
98,1564.8987574955984
79,1467.8146498348044
32,1470.6023500392841
77,1228.7693259261011
15,1258.2444189147468
36,743.8004837020575
90,1725.2509877960267
3,1282.0164673051704
57,1734.795109557692
87,1633.9390722377484
54,1174.973008453048
2,1774.1951765490203
96,1381.4344546080456
67,1834.3673185757025
105,1460.4965202425547
29,1706.2028918554959
59,1807.9825027940694
20,1799.364335239323
39,1710.8179564283319
103,818.4216818009564
7,1596.0573704849035
12,1331.962636867843
82,1289.9658462503335
16,1651.1442032853906
62,2048.9998641585307
35,1270.3335957865288
69,1280.8555622171898
30,1151.7205092950549
53,1687.0560999283502
19,1699.5640963227734
6,958.7980265118588
102,1504.5913051628672
9,1790.0686783095941
21,1707.9147142159754
78,1718.5676573864873
8,1617.5666686050974
60,1479.3243863537618
106,1289.9009982716502
74,1121.676233229729
72,1060.1380257072433
45,1734.9226136906616
1,1467.0564450665204
88,1682.8600173502055
56,1109.589361802456
38,1751.823458432626
10,1867.4775546810986
58,1628.187068676015
41,1016.9625030075177
73,1421.0282205873225
23,1655.6675390628827
64,1573.909160695343
49,1368.9711038999765
95,1581.4141895313194
55,1599.0053931139275
14,1188.7592912290331
76,1414.2101192504165
70,1794.4193232698142
5,1720.2857630519168
65,1064.6154508387606
92,1746.313293876171
100,1701.061013763338
34,1688.64521137521
63,1424.9205563873832
93,1451.679350917435
68,1627.7344506818158
91,1398.7747872943871
83,1875.4410396108888
46,1679.0437252496051
101,1334.8139002681835
47,1611.187792180109
71,1379.4603538397955
4,1427.904628057486
11,1426.0759378017328
94,1978.5581063723855
43,548.8308637369255
52,651.2696862752258
104,1355.771020697012
18,1309.51267969196
84,1137.6868563632872
33,1106.811346541436
44,1656.3029464201604
22,1503.2400092204675
