workerId,negllhTest
17,1983.1378553732534
99,1654.4815423029645
40,1672.3492209305434
28,1373.0046481769334
97,1221.2881260075806
80,1372.8255936265675
26,1440.4411866341793
48,1747.1293373311596
37,1396.327341281999
61,1538.4757584935676
13,1959.039197704668
42,1971.5620306397052
85,1440.687887073316
27,1596.003209429458
81,1428.1675985049276
25,1610.0205817884826
75,1320.7545695951242
31,1597.2042392337937
66,1515.1340739012824
24,1163.3318136963396
98,1823.2764128289623
79,1648.9343621455146
32,1383.3389639869165
77,1135.1155065739506
15,1638.9454050046527
36,1626.5485631509991
90,1304.8038268754894
3,1935.5414960341504
57,1973.3270048410034
87,1251.62343779686
54,1978.1513603504013
2,1722.8349398117605
96,1374.9068261745078
67,1868.3262153434878
105,2004.4801410704627
29,1885.3148725363947
59,1637.5418523822207
20,1462.0155656781967
39,2176.891963631388
103,1634.46133309604
7,1595.375109842322
12,1569.0815383727045
82,1779.055520107291
16,1621.0642575964755
62,1742.108371888159
35,1467.7762908914774
69,1901.0746869375016
30,1626.2774757763889
53,1886.677225015104
19,2126.568426212174
6,1755.6958139496066
102,2003.3179070951394
9,2127.688865907481
21,1687.2260086834228
78,2047.829852597522
8,1150.496943193386
60,1525.2595454672573
106,1929.6549420786896
74,1777.9438821149186
72,1886.9985500136686
45,1792.0873221302961
1,1297.2533384237172
88,1900.2848451665259
56,1400.023383606768
38,2097.0984600957268
10,1489.846560915869
58,1486.6795952310392
41,1801.341356804761
73,1769.8550505472394
23,2134.0634568977866
64,1330.6905618091166
49,1686.247292048141
95,1183.1545915540598
55,1839.2048733027648
14,1638.0439815143402
76,1478.2886248237664
70,1538.0794998426736
5,1803.1347862289506
65,1698.0617086828418
92,1550.8272815974146
100,1937.8192855332252
34,1255.4499962960285
63,1813.869559361874
93,1595.1388101781256
68,1529.938427445567
91,1750.3059586727966
83,1886.8439839973228
46,1619.8150789899564
101,1363.2008263341568
47,1190.7708394204908
71,1572.5139425446978
4,1736.4097224532427
11,1969.3312836760829
94,1375.8320805607182
43,1610.8795715485464
52,1551.1143765748825
104,1414.9322392507788
18,1594.3394781084255
84,1432.9634847487189
33,1746.9659493358633
44,1532.8271035358825
22,1555.0295414816812
