workerId,negllhTest
17,1155.9645823775013
99,523.2252692089114
40,689.0788408932326
28,613.1841451341487
97,588.4686681607284
80,694.2583550597783
26,859.9044319295073
48,680.0151313301682
37,676.2353527873697
61,817.2383665293453
13,881.8865854221901
42,1098.319680263696
85,751.2671156896135
27,779.1152279076422
81,677.8954503418627
25,959.9885535789148
75,607.0047559355618
31,406.82072014308
66,735.8565095283643
24,526.4637402096183
98,1056.0898150987136
79,791.8325868513666
32,668.8997227524131
77,386.0784194560618
15,844.1521776133743
36,415.30461354531576
90,696.0034409791658
3,859.400106468622
57,1098.8481991349443
87,584.7861188960389
54,719.7903472669511
2,1293.8814198210728
96,603.305355993428
67,995.5086822167442
105,846.601199834102
29,1379.6288880964808
59,1093.3390681017138
20,852.0879876427903
39,1133.9211956648555
103,446.02551492183136
7,805.7923535810886
12,728.6449613721143
82,785.4245754465722
16,930.9702425538153
62,1385.1312259615613
35,745.5308640570189
69,774.91596461415
30,805.9152183334904
53,1302.1119747116174
19,1183.9310383572072
6,574.0444639276142
102,1359.9308766417455
9,871.5362441531812
21,1074.6220187004783
78,1276.0703432354844
8,690.8499590943857
60,878.2257724232093
106,797.9213128586305
74,787.0898041481988
72,668.5344184740156
45,915.8749637210196
1,516.2957115369197
88,1336.7807254222705
56,722.411326129635
38,1409.8020767655753
10,892.0458551316383
58,880.7730139706532
41,589.0646153885184
73,861.3799993650874
23,1038.0908309994868
64,521.6895641816337
49,788.5857744931926
95,585.584309156546
55,945.2394221799243
14,830.7105247429961
76,694.1058977668832
70,1065.8472802705085
5,1163.7502801519827
65,533.357454713701
92,1008.6488813961627
100,1326.4048126559292
34,599.0526417893386
63,782.979220446209
93,737.7789806838316
68,782.7237875993657
91,831.3618111982959
83,1260.0686386364255
46,962.387347763806
101,782.2437126001305
47,463.64266614105486
71,851.1996466630501
4,838.6292267205562
11,665.6528362714358
94,986.259206166756
43,416.4486362413677
52,465.67654655665285
104,737.4959820286277
18,699.9072023360751
84,661.9599274251985
33,654.253878368419
44,663.5072909399552
22,832.5917806526678
