workerId,beta,eta_s,eta_r,decay,negllh
17,18.58172481127408,0.1904221212371172,0.046902448524535435,0.03839341227541988,1252.998517826281
99,32.3476297080931,0.08960580445374566,1.0,0.3461807804013169,655.862543732328
40,30.696652722093873,0.10680017300757667,0.0,0.06682088127873535,1219.3288149123682
28,32.6007383434999,0.10964130725609336,0.03589226081122382,0.3236015145011417,885.9028411489975
97,28.630378332452914,0.08752344119651015,0.04582986245538402,0.2120975246198661,1189.2632816127248
80,20.26149921309571,0.1365579750836087,0.030639208957133873,0.4945343226502824,1379.066912281015
26,23.60757740861691,0.09433633454893442,0.039405480989612336,0.5138251164404252,1365.6480233412312
48,31.189535606073214,0.10634737249748838,0.012215804200999096,0.25903202685500426,908.1345873361283
37,27.029757757630676,0.09314839638188263,0.03103455411971537,0.33110901810078425,1207.2119557720896
61,24.21396836136768,0.0894188792433412,0.0293568462700679,0.32659045286129923,1386.5588129876453
13,23.680340074987363,0.10620496365073193,0.4174908841741192,0.14676161386353748,1128.2081460279119
42,28.329236234233683,0.051715694101835484,0.03848423158074341,0.3820202158666523,1125.6795009039618
85,26.967433628266694,0.10516891470031464,0.03227119935825008,0.3264630528347383,1315.7698033383153
27,34.524195226825775,0.07251142507546833,0.022567358323042658,0.21787442202268467,1195.8870423341295
81,23.455505942436265,0.08922466862778128,0.01232188619286866,0.2521700233887505,1290.9634144725653
25,21.572041489708386,0.07497818306239938,0.01842743136992769,0.2992443720794033,1508.9256268081708
75,30.671523133386888,0.08799943184421348,0.022151012844373773,0.34989728702281714,1335.70831349352
31,45.65282086378148,0.10003670062003933,0.5125277164254659,0.2668759440349945,498.2835454144785
66,21.420222142153897,0.10271867029650904,0.02752795123021243,0.35443957934052456,1496.6218709049888
24,31.66231946095903,0.09470819137740608,0.02252363134832843,0.17776405697666234,1254.4898586120144
98,19.452629360149984,0.10196358311370338,0.0,0.3313438062414289,1366.1073650912026
79,22.625020984517906,0.12366789675032018,0.010164709443688129,0.5197567040609107,1228.2612623628493
32,25.23560386606464,0.07578190357697027,0.04880226467713713,0.4894877573343293,1308.4352605173942
77,36.697461287325396,0.07531757331248558,0.03503066071925614,0.34256350152913084,1004.3276079872504
